SYMBOL,cell,type
IGLV@,Plasma cells,blood
IGLJ3,Plasma cells,blood
TXNDC5,Plasma cells,blood
TPD52,Plasma cells,blood
GUCY1A3,Platelets,blood
BEND2,Platelets,blood
PROS1,Platelets,blood
SLC24A3,Platelets,blood
SELP,Platelets,blood
ENDOD1,Platelets,blood
FHL1,Platelets,blood
EGF,Platelets,blood
CLEC1B,Platelets,blood
MMRN1,Platelets,blood
WASF3,Platelets,blood
PEAR1,Platelets,blood
TNFSF4,Platelets,blood
ITGB5,Platelets,blood
CTTN,Platelets,blood
ASAP2,Platelets,blood
RHOBTB1,Platelets,blood
PTGS1,Platelets,blood
ALOX12,Platelets,blood
SPX,Platelets,blood
DNM3,Platelets,blood
MYLK,Platelets,blood
LTBP1,Platelets,blood
PDE5A,Platelets,blood
MFAP3L,Platelets,blood
CTDSPL,Platelets,blood
GUCY1B3,Platelets,blood
SH3BGRL2,Platelets,blood
TDRP,Platelets,blood
JAM3,Platelets,blood
PLOD2,Platelets,blood
TGFB1I1,Platelets,blood
ABLIM3,Platelets,blood
TRBV27,Platelets,blood
CALD1,Platelets,blood
GNAZ,Platelets,blood
STON2,Platelets,blood
PCSK6,Platelets,blood
ELOVL7,Platelets,blood
LOC100130938,Platelets,blood
PRTFDC1,Platelets,blood
ARHGAP6,Platelets,blood
EIF3G,Ribosomes,blood
RPL36A,Ribosomes,blood
RPS9,Ribosomes,blood
RPL21,Ribosomes,blood
RPL31,Ribosomes,blood
EIF3D,Ribosomes,blood
RPL38,Ribosomes,blood
RPL18A,Ribosomes,blood
RPL18,Ribosomes,blood
GNB2L1,Ribosomes,blood
RPL39,Ribosomes,blood
UXT,Ribosomes,blood
RPS2,Ribosomes,blood
RPS19,Ribosomes,blood
RPL11,Ribosomes,blood
FAU,Ribosomes,blood
RPS15,Ribosomes,blood
SNRPD2,Ribosomes,blood
RPLP2,Ribosomes,blood
RPL35,Ribosomes,blood
EEF1G,Ribosomes,blood
RPS7,Ribosomes,blood
EEF1D,Ribosomes,blood
RPL23A,Ribosomes,blood
RPS5,Ribosomes,blood
RPL5,Ribosomes,blood
EIF3H,Ribosomes,blood
RPS3,Ribosomes,blood
RPL9,Ribosomes,blood
RPS17,Ribosomes,blood
RPS27A,Ribosomes,blood
RPL37,Ribosomes,blood
RPL30,Ribosomes,blood
RPLP0,Ribosomes,blood
RPSA,Ribosomes,blood
RPS16,Ribosomes,blood
RPS15A,Ribosomes,blood
RPL27,Ribosomes,blood
RPL12,Ribosomes,blood
RPL35A,Ribosomes,blood
RPS13,Ribosomes,blood
RPS29,Ribosomes,blood
RPL32,Ribosomes,blood
RPS21,Ribosomes,blood
RPL27A,Ribosomes,blood
RPL6,Ribosomes,blood
RPL15,Ribosomes,blood
RPS20,Ribosomes,blood
RPL4,Ribosomes,blood
RPS10,Ribosomes,blood
RPL24,Ribosomes,blood
RPL13A,Ribosomes,blood
RPS6,Ribosomes,blood
RPS18,Ribosomes,blood
PFDN5,Ribosomes,blood
RPL28,Ribosomes,blood
EIF3K,Ribosomes,blood
RPL34,Ribosomes,blood
NACA,Ribosomes,blood
RPL8,Ribosomes,blood
RPL10L,Ribosomes,blood
RPS14,Ribosomes,blood
RPL7,Ribosomes,blood
RPL10,Ribosomes,blood
RPL23,Ribosomes,blood
RPS28,Ribosomes,blood
RPS3A,Ribosomes,blood
EEF1B2,Ribosomes,blood
SNHG8,Ribosomes,blood
EIF3F,Ribosomes,blood
RPL17,Ribosomes,blood
RPS23,Ribosomes,blood
RPL22,Ribosomes,blood
RPL14,Ribosomes,blood
EEF1A1,Ribosomes,blood
EIF3E,Ribosomes,blood
RPL13,Ribosomes,blood
RPL29,Ribosomes,blood
RPS25,Ribosomes,blood
RPL37A,Ribosomes,blood
RPS8,Ribosomes,blood
RPL7A,Ribosomes,blood
SNHG6,Ribosomes,blood
RPS11,Ribosomes,blood
RPL19,Ribosomes,blood
RPL3,Ribosomes,blood
PLEKHB1,T cells,blood
RNF157,T cells,blood
DGKA,T cells,blood
DOCK9,T cells,blood
EPHX2,T cells,blood
CD3E,T cells,blood
OXNAD1,T cells,blood
NOSIP,T cells,blood
CD3D,T cells,blood
FLT3LG,T cells,blood
BCL11B,T cells,blood
IL7R,T cells,blood
TMEM204,T cells,blood
NELL2,T cells,blood
CD5,T cells,blood
LDLRAP1,T cells,blood
UBASH3A,T cells,blood
TESPA1,T cells,blood
CD27,T cells,blood
ITK,T cells,blood
MAL,T cells,blood
THEM4,T cells,blood
LAT,T cells,blood
SIRPG,T cells,blood
ABLIM1,T cells,blood
CAMK4,T cells,blood
TRABD2A,T cells,blood
RCAN3,T cells,blood
LEF1,T cells,blood
NR3C2,T cells,blood
ADTRP,T cells,blood
CD3G,T cells,blood
CD28,T cells,blood
SCML4,T cells,blood
CDR2,T cells,blood
C12orf57,T cells,blood
TRAT1,T cells,blood
RASGRF2,T cells,blood
PCED1B,T cells,blood
CCR7,T cells,blood
LRRN3,T cells,blood
INPP4B,T cells,blood
NOG,T cells,blood
SPOCK2,T cells,blood
GPRASP1,T cells,blood
PASK,T cells,blood
FAM102A,T cells,blood
PIK3IP1,T cells,blood
TCF7,T cells,blood
TNFRSF25,T cells,blood
CD6,T cells,blood
LCK,T cells,blood
CD96,T cells,blood
IL23A,T cells,blood
TRAC,T cells,blood
STMN3,T cells,blood
PRKCQ,T cells,blood
TRBC1,T cells,blood
PRKCQ-AS1,T cells,blood
